用户id	房间id	直播id	上麦时间	下麦时间
12402008	12498	1569434527098725	2019-09-25 22:04:59	2019-09-25 22:45:33
12397564	12796	1569348289131265	2019-09-25 22:05:27	2019-09-26 00:00:29
12400846	12796	1569348289131265	2019-09-25 22:05:35	2019-09-26 01:02:21
12399848	12498	1569434527098725	2019-09-25 22:05:47	2019-09-25 22:52:27
12401347	12498	1569434527098725	2019-09-25 22:05:52	1970-01-01 04:00:00
12401593	12301	1569347147090110	2019-09-25 22:06:45	2019-09-25 22:44:55
12400720	12782	1569434802580176	2019-09-25 22:06:46	2019-09-25 22:21:08
12401323	12782	1569434802580176	2019-09-25 22:07:27	2019-09-25 23:14:02
12401701	13978	1569434537712879	2019-09-25 22:07:45	2019-09-25 23:23:42
12401071	13978	1569434537712879	2019-09-25 22:10:27	2019-09-25 23:34:15
12401352	12796	1569348289131265	2019-09-25 22:12:50	2019-09-25 23:21:11
12401725	11879	1569244365056575	2019-09-25 22:13:09	2019-09-25 22:22:07
12399454	12498	1569434527098725	2019-09-25 22:18:58	2019-09-25 22:29:50
12399417	12301	1569347147090110	2019-09-25 22:20:24	2019-09-25 22:41:13
12400720	12782	1569434802580176	2019-09-25 22:21:14	2019-09-25 22:55:22
12401725	11879	1569244365056575	2019-09-25 22:22:35	2019-09-25 23:15:48
12401226	11879	1569244365056575	2019-09-25 22:23:53	2019-09-25 22:28:26
12401226	11879	1569244365056575	2019-09-25 22:30:20	2019-09-25 22:48:36
12401352	12796	1569348289131265	2019-09-25 22:32:55	2019-09-25 22:54:58
12401502	11879	1569244365056575	2019-09-25 22:40:35	2019-09-25 23:15:48
12401511	12301	1569347147090110	2019-09-25 22:40:43	2019-09-25 22:40:53
12399417	4369	1569428898654195	2019-09-25 22:41:40	2019-09-25 22:44:45
12399454	12773	1569436894143751	2019-09-25 22:42:17	2019-09-25 23:01:10
12401269	13978	1569434537712879	2019-09-25 22:42:53	2019-09-25 22:47:27
12399836	12773	1569436894143751	2019-09-25 22:43:19	2019-09-25 22:48:38
12400256	11879	1569244365056575	2019-09-25 22:43:20	2019-09-25 23:08:46
12401347	12773	1569436894143751	2019-09-25 22:45:14	2019-09-25 23:01:10
12402008	12773	1569436894143751	2019-09-25 22:45:46	2019-09-25 23:00:53
12401269	13978	1569434537712879	2019-09-25 22:47:34	2019-09-25 23:33:40
12399836	12773	1569436894143751	2019-09-25 22:49:23	2019-09-25 22:49:47
12401951	13978	1569434537712879	2019-09-25 22:49:33	2019-09-25 22:56:22
12399836	12773	1569436894143751	2019-09-25 22:49:57	2019-09-25 22:50:17
12401226	11879	1569244365056575	2019-09-25 22:50:00	2019-09-25 23:10:11
12401511	12301	1569347147090110	2019-09-25 22:54:01	2019-09-25 23:10:47
12401593	12301	1569347147090110	2019-09-25 22:54:29	2019-09-25 23:05:48
12399848	12773	1569436894143751	2019-09-25 22:55:19	2019-09-25 23:01:10
12399410	12301	1569347147090110	2019-09-25 22:55:31	2019-09-25 23:18:34
12399836	12773	1569436894143751	2019-09-25 22:55:32	2019-09-25 22:56:13
12401951	13978	1569434537712879	2019-09-25 22:56:59	2019-09-25 23:16:05
12401986	11879	1569244365056575	2019-09-25 22:57:05	2019-09-25 23:00:34
12401352	12796	1569348289131265	2019-09-25 22:57:20	2019-09-25 23:04:58
12399417	12301	1569347147090110	2019-09-25 22:58:22	2019-09-25 23:08:55
12399577	12301	1569347147090110	2019-09-25 22:59:01	1970-01-01 04:00:00
12399836	12773	1569436894143751	2019-09-25 22:59:54	2019-09-25 23:00:13
12401986	11879	1569244365056575	2019-09-25 23:00:55	2019-09-25 23:06:18
12402008	12773	1569436894143751	2019-09-25 23:01:03	2019-09-25 23:01:10
12399454	12773	1569438118316364	2019-09-25 23:02:42	2019-09-25 23:04:30
12399836	12773	1569438118316364	2019-09-25 23:03:11	2019-09-25 23:08:58
12399454	12773	1569438118316364	2019-09-25 23:04:36	2019-09-25 23:11:59
12401347	12773	1569438118316364	2019-09-25 23:04:53	2019-09-25 23:38:07
12399577	12301	1569347147090110	2019-09-25 23:06:02	2019-09-26 01:01:08
12402008	12773	1569438118316364	2019-09-25 23:07:35	2019-09-25 23:13:42
12401986	11879	1569244365056575	2019-09-25 23:08:53	2019-09-25 23:14:56
12399848	12773	1569438118316364	2019-09-25 23:09:17	2019-09-25 23:10:48
12399417	12301	1569347147090110	2019-09-25 23:09:53	2019-09-25 23:13:49
12401226	11879	1569244365056575	2019-09-25 23:10:27	2019-09-25 23:15:48
12399836	12773	1569438118316364	2019-09-25 23:11:00	2019-09-25 23:29:21
12401511	12301	1569347147090110	2019-09-25 23:11:20	2019-09-25 23:11:54
12401511	12301	1569347147090110	2019-09-25 23:12:10	2019-09-25 23:31:51
12399848	12773	1569438118316364	2019-09-25 23:12:14	2019-09-26 01:44:13
12402008	12773	1569438118316364	2019-09-25 23:13:46	2019-09-26 01:34:49
12400256	11879	1569244365056575	2019-09-25 23:14:03	2019-09-25 23:15:25
12401986	11879	1569244365056575	2019-09-25 23:15:00	2019-09-25 23:15:48
12399417	12301	1569347147090110	2019-09-25 23:15:03	2019-09-25 23:30:59
12401951	13978	1569434537712879	2019-09-25 23:16:11	2019-09-25 23:17:30
12399454	12773	1569438118316364	2019-09-25 23:16:49	2019-09-25 23:22:22
12401951	13978	1569434537712879	2019-09-25 23:17:36	2019-09-25 23:18:58
12401226	11879	1569439099476809	2019-09-25 23:19:01	2019-09-26 00:17:46
12401986	11879	1569439099476809	2019-09-25 23:19:10	2019-09-25 23:24:36
12401951	13978	1569434537712879	2019-09-25 23:19:27	2019-09-26 00:24:40
12400256	11879	1569439099476809	2019-09-25 23:19:42	2019-09-25 23:37:05
12401725	11879	1569439099476809	2019-09-25 23:20:10	2019-09-25 23:25:40
12401502	11879	1569439099476809	2019-09-25 23:21:47	2019-09-25 23:39:03
12399410	12301	1569347147090110	2019-09-25 23:22:14	2019-09-25 23:28:21
12399454	12773	1569438118316364	2019-09-25 23:24:06	2019-09-25 23:30:30
12401593	12301	1569347147090110	2019-09-25 23:24:34	2019-09-25 23:34:13
12401986	11879	1569439099476809	2019-09-25 23:24:45	2019-09-25 23:48:40
12401725	11879	1569439099476809	2019-09-25 23:26:41	2019-09-26 01:01:38
12399410	12301	1569347147090110	2019-09-25 23:28:33	2019-09-26 00:08:07
12401352	12796	1569348289131265	2019-09-25 23:30:54	2019-09-25 23:40:59
12399417	12301	1569347147090110	2019-09-25 23:31:15	2019-09-25 23:51:51
12401511	12301	1569347147090110	2019-09-25 23:31:55	2019-09-26 00:21:49
12401269	13978	1569434537712879	2019-09-25 23:33:46	2019-09-26 01:04:32
12401701	13978	1569434537712879	2019-09-25 23:35:29	2019-09-25 23:55:02
12401593	12301	1569347147090110	2019-09-25 23:35:59	2019-09-25 23:42:21
12399836	12773	1569438118316364	2019-09-25 23:36:04	2019-09-26 00:03:06
12399454	12773	1569438118316364	2019-09-25 23:36:12	2019-09-25 23:49:03
12401347	12773	1569438118316364	2019-09-25 23:38:36	2019-09-26 01:36:59
12400256	11879	1569439099476809	2019-09-25 23:39:18	2019-09-25 23:44:21
12401502	11879	1569439099476809	2019-09-25 23:39:47	2019-09-25 23:59:03
12401352	12796	1569348289131265	2019-09-25 23:41:11	2019-09-26 00:02:09
12401593	12301	1569347147090110	2019-09-25 23:43:08	2019-09-25 23:51:57
12400256	11879	1569439099476809	2019-09-25 23:48:36	2019-09-25 23:49:01
12400256	11879	1569439099476809	2019-09-25 23:49:38	2019-09-26 00:17:31
12401986	11879	1569439099476809	2019-09-25 23:49:45	2019-09-26 00:07:35
12399454	12773	1569438118316364	2019-09-25 23:50:08	2019-09-25 23:53:17
12401071	13978	1569434537712879	2019-09-25 23:52:35	2019-09-26 00:45:41
12399454	12773	1569438118316364	2019-09-25 23:53:31	2019-09-25 23:55:56
12399417	12301	1569347147090110	2019-09-25 23:53:46	2019-09-26 00:55:47
12401593	12301	1569347147090110	2019-09-25 23:53:47	2019-09-26 00:56:26
12401424	12796	1569348289131265	2019-09-25 23:55:13	2019-09-25 23:56:18
12399454	12773	1569438118316364	2019-09-25 23:56:26	2019-09-26 00:25:38
12401424	12796	1569348289131265	2019-09-25 23:57:09	2019-09-26 00:12:17
12401502	11879	1569439099476809	2019-09-26 00:00:02	2019-09-26 00:09:03
12397564	12796	1569348289131265	2019-09-26 00:01:24	2019-09-26 00:04:04
12401352	12796	1569348289131265	2019-09-26 00:02:15	2019-09-26 00:04:16
12399836	12773	1569438118316364	2019-09-26 00:03:47	2019-09-26 01:39:00
12397564	12796	1569348289131265	2019-09-26 00:04:36	2019-09-26 00:33:14
12401352	12796	1569348289131265	2019-09-26 00:04:38	2019-09-26 00:57:30
12401986	11879	1569439099476809	2019-09-26 00:08:26	2019-09-26 00:40:07
12401701	13978	1569434537712879	2019-09-26 00:09:59	2019-09-26 00:10:15
12401701	13978	1569434537712879	2019-09-26 00:10:21	2019-09-26 01:04:37
12401502	11879	1569439099476809	2019-09-26 00:10:45	2019-09-26 01:01:01
12401424	12796	1569348289131265	2019-09-26 00:13:02	2019-09-26 00:25:04
12400256	11879	1569439099476809	2019-09-26 00:18:14	2019-09-26 00:20:37
12401226	11879	1569439099476809	2019-09-26 00:19:11	2019-09-26 00:31:00
12399410	12301	1569347147090110	2019-09-26 00:20:17	2019-09-26 00:28:35
12400256	11879	1569439099476809	2019-09-26 00:21:24	2019-09-26 00:23:32
12401511	12301	1569347147090110	2019-09-26 00:21:54	2019-09-26 00:33:38
12400256	11879	1569439099476809	2019-09-26 00:24:22	2019-09-26 00:25:09
12401951	13978	1569434537712879	2019-09-26 00:24:47	2019-09-26 00:26:08
12401424	12796	1569348289131265	2019-09-26 00:25:59	2019-09-26 01:02:21
12401951	13978	1569434537712879	2019-09-26 00:26:15	2019-09-26 01:04:20
12400256	11879	1569439099476809	2019-09-26 00:27:17	2019-09-26 00:29:16
12399410	12301	1569347147090110	2019-09-26 00:29:59	2019-09-26 00:32:19
12401226	11879	1569439099476809	2019-09-26 00:31:34	1970-01-01 04:00:00
12401226	11879	1569439099476809	2019-09-26 00:32:32	1970-01-01 04:00:00
12399410	12301	1569347147090110	2019-09-26 00:33:03	2019-09-26 01:03:38
12401226	11879	1569439099476809	2019-09-26 00:33:12	1970-01-01 04:00:00
12401226	11879	1569439099476809	2019-09-26 00:33:54	2019-09-26 00:38:47
12401511	12301	1569347147090110	2019-09-26 00:34:21	2019-09-26 00:49:22
12397564	12796	1569348289131265	2019-09-26 00:36:25	2019-09-26 01:02:16
12401226	11879	1569439099476809	2019-09-26 00:43:59	2019-09-26 00:44:58
12401226	11879	1569439099476809	2019-09-26 00:45:44	2019-09-26 00:45:54
12401226	11879	1569439099476809	2019-09-26 00:46:12	2019-09-26 01:01:34
12401511	12301	1569347147090110	2019-09-26 00:49:47	2019-09-26 01:00:46
12401071	13978	1569434537712879	2019-09-26 00:51:00	2019-09-26 00:52:17
12401071	13978	1569434537712879	2019-09-26 00:53:54	2019-09-26 01:04:32
12399417	2916	1568724573695038	2019-09-26 00:55:56	2019-09-26 00:55:59
12399417	12301	1569347147090110	2019-09-26 00:56:46	2019-09-26 01:02:23
12401352	12796	1569348289131265	2019-09-26 00:57:59	2019-09-26 01:02:21
12401593	12301	1569347147090110	2019-09-26 00:59:12	2019-09-26 01:00:35
12401226	12118	1569445300705909	2019-09-26 01:01:44	2019-09-26 01:02:17
12401951	12799	1569243524609194	2019-09-26 01:05:21	2019-09-26 01:05:24
12400720	4369	1569428898654195	2019-09-26 02:29:43	2019-09-26 02:41:52
12400720	4369	1569428898654195	2019-09-26 02:42:05	2019-09-26 02:43:18
12400720	12782	1569451405450354	2019-09-26 02:43:32	2019-09-26 02:43:44
12400720	4369	1569428898654195	2019-09-26 02:44:02	2019-09-26 02:44:04
12400720	4369	1569428898654195	2019-09-26 02:44:08	2019-09-26 03:37:50
12399836	12773	1569438118316364	2019-09-26 21:22:09	2019-09-26 21:25:52
12399836	12773	1569438118316364	2019-09-26 21:28:39	2019-09-26 21:57:45
12401347	12773	1569438118316364	2019-09-26 21:41:04	2019-09-26 21:53:48
12401226	11879	1569439099476809	2019-09-26 21:51:59	2019-09-26 23:10:16
12399577	12301	1569347147090110	2019-09-26 21:52:13	2019-09-26 22:02:05
12399454	12773	1569438118316364	2019-09-26 21:53:20	2019-09-26 22:33:53
