ID	回复回合数	时间数
12075700:12077433 1 0.000000
12075970:12081957 1 0.000000
12076050:12081394 1 0.000000
12076218:12079437 1 0.116667
12076354:12078376 1 0.166667
12076992:12081246 1 0.133333
12077065:12083279 1 0.000000
12077116:12082457 1 0.000000
12077566:12079393 2 1381.316667
12077882:12082457 1 0.050000
12078336:12079574 1 0.000000
12078336:12081875 1 0.000000
12080314:12082593 1 4.066667
12080314:12083892 1 3.216667
12080590:12081187 1 0.250000
12081213:12083677 1 0.000000
12081574:12083316 1 0.166667
12081681:12083645 1 0.000000
12050566:12078359 1 0.900000
12050566:12080640 1 661.100000
12050834:12079057 1 0.000000
12051461:12060859 1 0.183333
12052000:12078199 1 0.116667
12052240:12066886 1 0.000000
12052323:12083403 1 0.000000
12052347:12071940 1 0.133333
12053566:12067141 1 0.000000
12053566:12076510 1 0.000000
12054566:12056506 3 108.516667
12054723:12083420 1 0.266667
12056208:12061263 1 24.300000
12056288:12076212 1 0.000000
12056506:12074382 1 0.000000
12056506:12078244 1 682.083333
12056753:12067982 1 0.000000
12056983:12079061 1 0.000000
12056983:12081969 1 0.000000
12057319:12065643 1 0.250000
12058824:12064169 1 0.550000
12061476:12076174 1 0.216667
12063370:12077307 1 0.000000
12063566:12082944 1 0.000000
12063630:12078336 1 0.000000
12064167:12083316 1 0.100000
12065030:12083696 1 0.000000
12065354:12082457 1 0.000000
12065643:12077932 1 0.000000
12066110:12070900 1 0.000000
12066766:12075843 1 0.000000
12066886:12068146 1 0.316667
12066932:12077932 1 0.000000
12066966:12079544 1 0.083333
12067495:12081554 1 0.000000
12067510:12077995 1 0.000000
12067526:12071896 1 0.000000
12067696:12082319 2 944.450000
12067768:12077096 1 2882.333333
12067768:12077414 2 953.133333
12067878:12076020 1 0.083333
12068009:12082828 1 0.000000
12068059:12079427 1 0.000000
12068069:12079219 1 0.000000
12068208:12081340 1 0.000000
12068517:12082320 1 0.166667
12068801:12080253 1 0.000000
12068957:12081109 1 0.050000
12069231:12082613 1 0.000000
12070063:12070809 1 0.000000
12070132:12082138 1 18.700000
12070586:12083785 1 0.316667
12071020:12083356 1 0.000000
12071874:12073041 1 0.000000
12072137:12078890 1 0.133333
12072314:12083356 1 0.000000
12073041:12082624 1 0.000000
12073065:12081516 1 0.000000
12073065:12082318 1 0.416667
12073083:12078267 1 0.000000
12073177:12074588 1 0.000000
12073260:12074505 1 0.000000
12073335:12082335 1 0.166667
12073600:12075490 2 31.383333
12073790:12081598 1 1.016667
12074702:12076325 1 698.233333
12075040:12083080 1 0.000000
12075490:12076354 3 44.450000
12075528:12082064 1 0.000000
12075970:12081025 1 0.000000
12076020:12080924 1 0.000000
12076084:12081060 1 0.433333
12076084:12081867 1 0.000000
12076575:12078813 1 0.000000
12076835:12080314 1 0.100000
12076992:12083229 1 0.516667
12077065:12080079 1 0.000000
12077075:12079602 5 1851.900000
12077566:12081833 1 0.000000
12078336:12083492 1 0.000000
12080133:12082649 1 0.000000
12080162:12082627 1 0.000000
12080296:12083310 1 0.000000
12080314:12081150 1 0.000000
12080606:12083154 1 0.000000
12050328:12080552 1 0.000000
12050587:12080617 1 0.000000
12050821:12074230 1 0.050000
12050962:12077507 1 0.000000
12051013:12081776 1 0.000000
12051169:12082613 1 0.000000
12051418:12080446 1 0.150000
12051618:12077331 1 0.000000
12051618:12081853 1 0.000000
12052371:12069343 1 0.083333
12054074:12080640 1 0.000000
12054566:12080189 1 0.000000
12054692:12081954 1 0.150000
12055401:12079313 1 35.350000
12055675:12077427 1 0.366667
12055675:12081294 1 0.000000
12056379:12082563 1 0.000000
12056506:12076919 1 0.000000
12056983:12074382 1 57.366667
12056983:12081319 1 0.600000
12059654:12076992 1 233.600000
12060780:12078803 1 0.316667
12061328:12067464 1 0.000000
12061384:12078199 1 0.083333
12062795:12078235 1 0.000000
12063642:12078155 1 0.000000
12063770:12074488 1 781.683333
12064439:12078688 1 0.000000
12064549:12080189 2 637.766667
12064686:12067768 1 12.366667
12064686:12077116 1 0.316667
12065281:12081566 1 0.000000
12065674:12073584 1 0.000000
12066194:12068197 1 0.000000
12066292:12079735 1 0.133333
12066698:12078199 1 0.000000
12066753:12082944 1 0.000000
12067146:12079701 1 0.000000
12067510:12082231 1 0.183333
12067696:12076212 2 331.033333
12067957:12080651 1 0.000000
12068093:12082944 1 0.000000
12068126:12083513 1 0.700000
12068801:12082231 1 1.133333
12069002:12076190 1 0.000000
12069257:12080314 1 55.916667
12069968:12082025 1 0.000000
12069984:12082335 1 0.200000
12069984:12083616 1 0.000000
12070371:12081748 1 0.000000
12070983:12082625 1 0.000000
12071535:12083679 1 0.000000
12071940:12080852 1 0.150000
12072039:12083467 1 0.100000
12072134:12082401 1 0.000000
12072137:12083526 1 0.650000
12072570:12079069 1 0.000000
12072797:12079155 1 0.000000
12073082:12076020 1 0.000000
12073241:12078752 1 0.116667
12073529:12076212 1 0.000000
12073541:12082319 1 5.116667
12074066:12081628 1 0.816667
12075204:12080651 1 441.300000
12075290:12081546 1 0.000000
12075412:12082231 1 0.150000
12075906:12080597 1 83.750000
12076218:12079288 1 0.000000
12076218:12079445 1 2.916667
12076827:12079028 1 147.416667
12076992:12081617 1 0.000000
12077161:12080764 1 0.000000
12077206:12081875 1 0.000000
12077566:12082291 1 0.000000
12078051:12082319 1 0.133333
12078339:12082525 1 0.033333
12079620:12080750 1 0.250000
12079799:12081547 1 0.000000
12080189:12083525 1 0.000000
12080314:12082152 1 0.166667
12080314:12082319 1 944.166667
12050009:12079759 1 0.100000
12050328:12076212 1 0.000000
12050607:12071056 1 0.200000
12050758:12076095 1 0.200000
12051135:12080228 1 758.600000
12051347:12081794 1 0.716667
12051347:12082931 1 0.000000
12051562:12078478 1 0.100000
12051850:12080163 1 0.000000
12051850:12080320 1 0.150000
12052136:12081005 1 0.266667
12052240:12081021 1 0.000000
12052323:12069343 1 0.000000
12053347:12079799 1 1.066667
