room_id	MAX(live_id)
291	1566593572115614
292	1566346115899787
293	1566517221856982
294	1566264170963662
295	1566267093718952
296	1566270019883458
297	1566278952100849
298	1566284573841743
299	1566285885029195
300	1566286867130813
301	1566287211417497
302	1566288535892249
303	1566288760957156
304	1566289404876864
305	1568277174126512
306	1566295849204117
307	1566292799038333
308	1566295420477422
309	1566934890881982
310	1566304252104489
311	1566305080838305
312	1566304792850258
313	1566344531006635
314	1566306593237488
315	1566310621735302
316	1567136781171917
317	1566315857053415
318	1566318437615313
319	1566324006409827
320	1566319463562357
321	1566319521365497
322	1568142409764053
323	1566422225948722
324	1566321640961067
325	1566322108766608
326	1567192321400410
327	1566324041614197
328	1566325757988596
329	1566325543148382
330	1566326160617883
331	1566326927039076
332	1566327839944913
333	1566328135051052
334	1566328907585570
335	1566329074496108
336	1566333824559102
337	1566683639566779
338	1566592404792355
339	1566330983965500
340	1566331291899544
341	1566331343405801
342	1566517834133337
343	1566334269467424
344	1566587110126628
345	1566335611878899
346	1566335919656519
347	1566336975128379
348	1566340947651928
349	1566342309974458
350	1566343166634223
351	1567195373034412
352	1566345312467225
353	1567965472480350
354	1568132212157828
355	1566354676740730
356	1566355926886271
357	1566880718513075
358	1566357406632302
359	1566357620721440
360	1566359313222273
361	1566359742317312
362	1566362166876289
363	1566363233194578
364	1566364143389996
365	1566364555826580
366	1566365658317731
367	1566365837514859
368	1566387537136076
369	1566366875352204
371	1566367687757019
372	1566367783089031
373	1566368301471336
374	1566625167113255
375	1566369737617875
376	1566370298686361
377	1566372230480443
378	1566372043515114
379	1566372199198992
380	1566372679790950
381	1566374646230732
382	1566374670862938
383	1566374777223326
384	1566374972043645
385	1566376116506268
386	1566379318017549
387	1566379659811481
388	1566380726760035
389	1566444218344379
390	1566384666842403
391	1566385803630132
392	1566386191934349
393	1566386400379947
394	1566403373443913
395	1566386996622335
396	1566388637256654
397	1566389347015570
398	1566389384909838
399	1566390140169821
400	1566391306209579
401	1566391143476598
402	1566391531548403
403	1566392296402986
404	1566392896751570
405	1566393076740827
406	1566396095850267
407	1566396602903455
408	1566397214185872
409	1566398106010192
410	1566399099981677
411	1566587457622432
412	1566399656450447
413	1566942502285928
414	1566399978685657
415	1566400445991962
416	1566400816614363
417	1566402881943852
418	1566403169186081
420	1566404053435159
421	1566404094208440
422	1566405004296358
423	1566405996321811
424	1566406151410414
425	1566406190025863
426	1566407024490878
427	1566407287155428
428	1566408235931098
429	1566408485418742
430	1566409490878513
431	1566409014790539
432	1566411053279685
433	1568835803635683
434	1566411405185320
435	1566411859899985
436	1566411972765993
437	1566412245807816
438	1566412259604370
439	1566413341269377
440	1566413826939418
441	1566414257728607
442	1566414817761606
443	1566415053882709
444	1566416016341148
445	1566417036926560
446	1566417393336861
447	1566417914147893
448	1566418071638980
449	1566418104855954
450	1566418195261107
451	1566418526951114
452	1566418689119481
453	1566419308264353
454	1566420573821375
455	1566421852899904
456	1566422322136413
457	1566422642467331
458	1566423131996436
459	1566423307830424
460	1566424549948073
461	1568806722096527
462	1566425231336213
463	1566425443114452
464	1566426170190339
465	1566426801036294
466	1566427052222746
467	1566429082572903
468	1566429931649575
469	1566430506567396
470	1566431284424163
471	1566432340751994
472	1566432687120420
473	1567886691040135
474	1566432974704973
475	1566432981064705
476	1566434619607915
477	1566455888510133
478	1566436792904810
479	1566437243663625
480	1566437565737742
481	1566437789415602
482	1566471521607428
483	1566438351288736
484	1566439512448515
485	1566440084924857
486	1567027883949046
487	1567650533510267
488	1566441078907810
489	1566465514300761
490	1566445523961612
491	1566445565205905
492	1566446887224855
493	1566447560337630
494	1566447656522725
495	1567390969045158
496	1566449315945852
497	1566450370432799
498	1566450541935488
499	1566451893276989
500	1566451965364202
501	1566452719747787
502	1566453907423616
503	1566454052200986
504	1566454848862975
505	1567204336720735
506	1566457953117550
507	1566458035546692
508	1566458125343287
509	1566458396897491
510	1566459685784056
511	1566460496538001
512	1566461162677289
513	1566461270084954
514	1566461331966055
515	1566461650663732
516	1566461683815333
517	1566462437663408
518	1566462810554491
519	1566462866583028
520	1566463140601067
521	1566463227213114
522	1566463887171850
523	1567041117046190
524	1568324113164033
525	1566479647707641
526	1566465980831515
527	1566466136364371
528	1566466840776289
529	1566466998815370
530	1566467009374024
531	1566468501702847
532	1566468702997928
533	1566469123851614
534	1566469874946828
535	1566470403247011
536	1567187961495712
537	1566471082024036
538	1566471383031453
539	1566472050066578
540	1566472912982034
541	1566473038884337
542	1566474281482980
543	1566474794936277
544	1566475222823263
545	1566477195684206
546	1567958715110756
547	1566550205242341
548	1566477706275825
549	1566509226347462
550	1566478329175714
551	1568878280883705
552	1566481718572334
553	1566479609438127
554	1566479711105296
555	1566479970832268
556	1566507918319198
557	1566480665820855
558	1566481184951332
559	1566482442853259
560	1566482857768632
561	1566482902011698
562	1566482924414899
563	1568030927754793
564	1566484144028247
565	1566484508797760
566	1566485662634104
567	1566488003257728
568	1566488034439186
569	1566488413405326
570	1566493757326408
571	1567763520100609
572	1566490262296978
573	1566490640015826
574	1566490770909199
575	1568905626846325
576	1566491189969735
577	1566492248702288
578	1566492981397915
579	1568248055836137
580	1566493137169762
581	1566493605757416
582	1566493647326016
583	1566493717898380
584	1566494983547988
585	1566494900696315
586	1566495083970575
587	1566593283459220
588	1566495255870830
589	1566495401634273
590	1566495734067890
591	1566496248586248
592	1566496587769315
593	1566496627849121
594	1566497917588983
595	1566497150881882
596	1566497602525836
597	1566497638830523
598	1566505933076491
599	1566498256306543
600	1566498344243642
601	1566498408475148
602	1566498879875567
603	1566499104370397
604	1566499130284646
605	1566499546535961
606	1566499847319266
607	1566500397548641
608	1566500512424841
609	1566500787141181
610	1566956159218599
611	1566500964711879
612	1566576199370314
613	1566501252218319
614	1566501420839913
615	1567102084535546
616	1566502758102970
617	1566501978677157
618	1566502141534172
619	1566502522450808
620	1566503126649201
621	1566503636545016
622	1566925722031690
623	1566503776396165
624	1566503792498972
625	1566503941652094
626	1566549277196355
627	1566504259448006
628	1566504937254849
629	1566915557289776
630	1566505277021414
631	1566505486358643
632	1566506260293174
633	1566506396432465
634	1566580958882617
635	1566506473395129
636	1566506612196274
637	1566507010148830
638	1568384414332626
639	1566507174876797
640	1566507338704689
641	1566508232410099
642	1566508902227708
