ID	回复回合数	时间数
12030583:12103824 0 0.000000
12030583:12112551 3 9.033333
12030585:12109446 1 0.600000
12030587:12109460 1 6.366667
12030625:12109124 0 0.000000
12030625:12109905 3 27.483333
12030625:12111707 2 610.716667
12030668:12110693 0 0.000000
12030743:12108975 0 0.000000
12030748:12108975 0 0.000000
12030767:12103640 0 0.000000
12030767:12108946 11 2531.116667
12030774:12108975 0 0.000000
12030775:12109755 0 0.000000
12030779:12108975 0 0.000000
12030803:12108946 8 24.883333
12036618:12111323 0 0.000000
12037721:12108957 0 0.000000
12038001:12109774 0 0.000000
12039114:12110147 0 0.000000
12030561:12098715 0 0.000000
12030561:12104489 0 0.000000
12030561:12110159 1 1.350000
12030561:12112224 9 14.033333
12030562:12110315 0 14.900000
12030562:12112695 1 13.383333
12030564:12067142 0 0.000000
12030564:12109642 1 57.666667
12030566:12097270 7 73.516667
12030566:12105773 1 964.050000
12030566:12110270 2 749.750000
12030566:12111759 8 259.750000
12030566:12112219 7 14.733333
12030569:12100770 0 0.133333
12030569:12111440 8 10.733333
12030569:12112688 0 1.600000
12030570:12099793 0 0.000000
12030570:12104626 0 0.000000
12030570:12109177 0 0.000000
12030570:12109636 0 5.616667
12030570:12110266 7 37.166667
12030570:12110307 7 10.933333
12030572:12108859 0 0.000000
12030572:12109498 0 0.000000
12030572:12109634 1 117.083333
12030572:12110274 9 18.516667
12030572:12112685 1 3.116667
12030572:12112696 8 22.400000
12030575:12053386 1 109.833333
12030575:12097410 0 0.000000
12030575:12101896 1 142.100000
12030575:12104631 0 0.000000
12030575:12106919 7 24.133333
12030575:12110145 8 63.833333
12030575:12110261 0 0.000000
12030575:12112693 9 16.183333
12030577:12069381 0 0.000000
12030577:12104796 8 15.466667
12030577:12106599 7 8.816667
12030577:12108214 0 0.000000
12030580:12104470 0 0.000000
12030580:12108655 0 0.000000
12030580:12109290 6 19.000000
12030580:12110266 9 37.433333
12030580:12111065 7 8.900000
12030580:12112688 1 4.200000
12030602:12109468 0 0.000000
12030625:12104299 0 0.000000
12030625:12112643 0 0.000000
12030659:12112634 11 15.433333
12030667:12109699 1 4.416667
12030745:12106718 0 0.000000
12030748:12109458 11 13.483333
12030749:12109971 1 61.866667
12030756:12109964 6 1438.250000
12030763:12045804 0 0.000000
12030767:12109303 0 658.183333
12030769:12107373 1 39.683333
12030772:12108975 0 0.216667
12030773:12106688 1 633.366667
12030774:12108973 10 37.483333
12030787:12108613 16 35.766667
12030793:12112621 8 33.016667
12030797:12045804 0 0.000000
12030805:12102796 0 0.000000
12030561:12098849 0 0.366667
12030561:12103200 0 0.000000
12030561:12103397 0 0.000000
12030561:12112373 0 0.000000
12030562:12106299 3 40.300000
12030562:12110127 1 5.966667
12030564:12103227 0 0.000000
12030564:12103343 0 0.000000
12030564:12109959 1 3.366667
12030564:12110159 0 0.716667
12030564:12111897 1 1.850000
12030564:12112370 1 1.683333
12030564:12112409 0 0.000000
12030566:12103541 0 0.000000
12030566:12109839 1 958.166667
12030566:12111895 0 0.000000
12030566:12112407 0 0.000000
12030569:12043610 1 9.200000
12030569:12098715 0 0.000000
12030569:12103181 0 0.000000
12030569:12105311 0 0.000000
12030569:12112375 1 53.300000
12030569:12112522 0 0.150000
12030569:12112722 0 0.000000
12030570:12050218 0 0.000000
12030570:12103987 0 0.000000
12030570:12104510 0 0.000000
12030570:12108859 0 0.083333
12030572:12043610 1 3682.883333
12030572:12096905 0 0.000000
12030572:12103178 0 0.000000
12030572:12105318 0 0.000000
12030572:12111566 1 187.750000
12030572:12112519 0 0.000000
12030574:12111438 1 0.316667
12030575:12056291 1 563.833333
12030575:12105315 0 0.000000
12030575:12106278 0 0.000000
12030575:12107685 8 70.866667
12030575:12109454 0 0.183333
12030575:12111709 7 32.200000
12030575:12111886 0 0.000000
12030575:12112516 6 115.266667
12030575:12112685 1 0.633333
12030577:12103330 0 0.000000
12030577:12103530 0 0.000000
12030577:12104296 0 0.000000
12030577:12105308 0 0.000000
12030577:12110095 5 2728.666667
12030580:12088357 8 15.366667
12030580:12103985 0 0.000000
12030580:12110269 13 1478.400000
12030583:12090001 0 0.000000
12030583:12099341 0 0.000000
12030583:12112351 10 101.850000
12030585:12109771 1 23.566667
12030585:12109938 0 0.000000
12030585:12112359 0 0.416667
12030602:12109795 1 1.733333
12030641:12100895 0 0.000000
12030659:12111802 0 0.000000
12030735:12102543 0 0.000000
12030741:12108975 1 106.433333
12030750:12109606 0 0.000000
12030767:12104106 0 0.000000
12030778:12112523 9 20.950000
12030783:12104090 0 0.000000
12030784:12108973 8 17.466667
12030791:12109565 1 1175.150000
12030793:12112498 2 12.650000
12030797:12109608 2 588.066667
