ID	回复回合数	时间数
10000:12032300 1 1410.200000
10000:12032436 1 1416.033333
10000:12032752 1 1413.066667
10000:12032758 1 1418.833333
10000:12032919 1 1412.483333
10000:12032943 1 1414.400000
10000:12032948 1 1418.233333
10000:12033066 1 1421.750000
10000:12033076 1 1423.883333
10000:12033232 1 1403.416667
10000:12033235 1 1424.566667
10000:12033243 1 1427.416667
10000:12033266 1 1420.283333
10000:12033392 1 1420.916667
10000:12033548 1 1417.850000
10000:12033559 1 1414.750000
10000:12033715 1 1418.650000
10000:12033885 1 1419.766667
10000:12034198 1 1408.616667
10000:12034530 1 1422.366667
10000:12034555 1 1411.383333
10000:12034681 1 1407.883333
10000:12035004 1 1415.900000
10000:12035007 1 1414.983333
10000:12035015 1 1419.616667
10000:12035331 1 1421.100000
10000:12035487 1 1400.566667
10000:12035498 1 1423.750000
10000:12035803 1 1416.383333
10000:12035814 1 1413.933333
10000:12035844 1 1412.266667
10000:12035970 1 1420.450000
10000:12036137 1 1409.633333
10000:12036302 1 1419.366667
10000:12036453 1 1420.733333
10000:12036610 1 1416.816667
10000:12036651 1 1419.050000
10000:12036776 1 1419.000000
10000:12036779 1 1424.333333
10000:12036787 1 1407.416667
10000:12036810 1 1424.766667
10000:12036946 1 1418.833333
10000:12037259 1 1428.466667
10000:12037270 1 1403.733333
10000:12037581 1 1421.183333
10000:12037586 1 1417.883333
10000:12037622 1 1418.966667
10000:12037909 1 1414.166667
10000:12037940 1 1410.366667
10000:12038058 1 1414.116667
10000:12038066 1 1419.450000
10000:12038069 1 1418.800000
10000:12038099 1 1409.000000
10000:12038225 1 1421.216667
10000:12038559 1 1406.816667
10000:12039031 1 1418.916667
10000:12039042 1 1414.816667
10000:12039188 1 1428.350000
10000:12039358 1 1422.183333
10000:12039388 1 1418.200000
10000:12039681 1 1415.483333
10000:12039836 1 1411.566667
10000:12039838 1 1415.216667
10000:12039841 1 1403.033333
10000:12039997 1 1415.433333
10000:12040154 1 1408.366667
10000:12040195 1 1411.116667
10000:12040487 1 1412.533333
10000:12040518 1 1416.366667
12030561:12103553 1 0.000000
12030561:12103681 1 0.000000
12030561:12109328 1 38.650000
12030561:12109352 13 40.633333
12030561:12109634 1 0.350000
12030561:12109811 1 540.333333
12030561:12109960 1 0.516667
12030561:12110292 17 32.916667
12030561:12110294 13 29.916667
12030561:12110323 1 2.850000
12030562:12109033 1 1.083333
12030562:12109959 10 19.216667
12030562:12112214 1 6.133333
12030564:12101254 1 0.116667
12030564:12102397 1 0.000000
12030564:12104651 1 0.000000
12030564:12105447 1 0.000000
12030564:12105614 1 0.000000
12030564:12109325 6 3524.483333
