id	send_uid	recv_uid	cp_num	cp_cycle_day	created	updated
1801	12399736	12459932	39	2019-12-19	2019-12-19 22:15:10	2019-12-19 22:15:10
1802	12462569	12462900	396	2019-12-19	2019-12-19 22:45:37	2019-12-19 22:45:57
1806	12380165	12466153	39	2019-12-19	2019-12-19 23:14:52	2019-12-19 23:14:52
1808	12459932	12466153	156	2019-12-19	2019-12-19 23:14:52	2019-12-23 16:57:53
1809	12465705	12466153	117	2019-12-19	2019-12-19 23:14:52	2019-12-23 01:56:15
1810	12368885	12466153	78	2019-12-19	2019-12-19 23:14:52	2019-12-20 05:36:12
1811	12099947	12466153	294	2019-12-19	2019-12-19 23:14:52	2019-12-23 17:11:44
1812	12462538	12466153	78	2019-12-19	2019-12-19 23:14:52	2019-12-24 12:56:13
1815	12405820	12444743	39	2019-12-19	2019-12-19 23:16:03	2019-12-19 23:16:03
1816	12401226	12466880	297	2019-12-19	2019-12-19 23:20:18	2019-12-20 18:59:10
1817	12459233	12467550	39	2019-12-19	2019-12-19 23:26:10	2019-12-19 23:26:10
1819	12401226	12467550	198	2019-12-19	2019-12-19 23:30:16	2019-12-19 23:36:45
1820	12283623	12467211	39	2019-12-19	2019-12-19 23:33:22	2019-12-19 23:33:22
1822	12401226	12410450	198	2019-12-19	2019-12-19 23:46:41	2019-12-20 00:54:03
1823	12458635	12459278	198	2019-12-19	2019-12-19 23:50:17	2019-12-19 23:51:14
1825	12380165	12463823	39	2019-12-19	2019-12-20 00:24:38	2019-12-20 00:24:38
1826	12323748	12404166	2295	2019-12-19	2019-12-20 00:32:09	2019-12-25 00:05:08
1827	12323748	12417938	99	2019-12-19	2019-12-20 00:32:40	2019-12-20 00:32:40
1829	12323748	12405484	99	2019-12-19	2019-12-20 00:32:40	2019-12-20 00:32:40
1831	12401226	12446529	198	2019-12-19	2019-12-20 00:54:17	2019-12-20 18:58:33
1832	12401226	12434899	99	2019-12-19	2019-12-20 00:54:20	2019-12-20 00:54:20
1833	12099947	12464392	396	2019-12-19	2019-12-20 01:17:49	2019-12-24 16:48:00
1835	12357373	12417824	39	2019-12-19	2019-12-20 01:42:31	2019-12-20 01:42:31
1836	12459233	12459654	99	2019-12-19	2019-12-20 01:54:50	2019-12-20 01:54:50
1837	12459233	12459932	99	2019-12-19	2019-12-20 01:54:50	2019-12-20 01:54:50
1838	12452732	12459233	99	2019-12-19	2019-12-20 01:54:51	2019-12-20 01:54:51
1839	12379274	12406049	39	2019-12-19	2019-12-20 01:56:38	2019-12-20 01:56:38
1840	12457613	12459458	99	2019-12-19	2019-12-20 02:51:29	2019-12-20 02:51:29
1845	12461399	12462340	1494	2019-12-19	2019-12-20 03:59:04	2019-12-23 06:00:28
1848	12462590	12463823	117	2019-12-19	2019-12-20 04:20:05	2019-12-20 19:18:09
1849	12458798	12463823	39	2019-12-19	2019-12-20 04:24:02	2019-12-20 04:24:02
1850	12463823	12464502	39	2019-12-19	2019-12-20 04:24:02	2019-12-20 04:24:02
1851	12461053	12463823	39	2019-12-19	2019-12-20 04:39:17	2019-12-20 04:39:17
1852	12414559	12463823	39	2019-12-19	2019-12-20 04:47:46	2019-12-20 04:47:46
1853	12407964	12466153	39	2019-12-19	2019-12-20 05:36:11	2019-12-20 05:36:11
1854	12391189	12466153	78	2019-12-19	2019-12-20 05:36:12	2019-12-25 02:12:32
1856	12466153	12466210	78	2019-12-19	2019-12-20 05:36:12	2019-12-23 05:56:12
1865	12461399	12464392	1494	2019-12-19	2019-12-20 07:02:56	2019-12-25 00:34:47
1867	12461399	12466331	336	2019-12-19	2019-12-20 07:04:37	2019-12-21 05:10:22
1868	12431002	12461399	198	2019-12-19	2019-12-20 07:04:41	2019-12-24 02:30:26
1870	12332423	12461399	99	2019-12-19	2019-12-20 07:06:48	2019-12-20 07:06:48
